Multiloja;CodTratado;CodAlternat;DataPrioridade;DataPedido;StatusPedido
0;600050779300;166945071;0;20/09/2025;0
0;600050789200;163962100;0;20/09/2025;0
0;600050792900;163962100;0;20/09/2025;0
0;600050791100;263962100;0;20/09/2025;0
0;600050789400;163917200;0;20/09/2025;0
0;600050792100;122211204;0;20/09/2025;0
0;600050790800;163809520;0;20/09/2025;0
0;600050781000;120260816;0;20/09/2025;0
0;600050788900;522211204;0;20/09/2025;0
0;600050790200;123498729;0;20/09/2025;0
0;600050790300;123498729;0;20/09/2025;0
0;600050788500;621136070;0;20/09/2025;0
0;600050793300;166970000;0;20/09/2025;0
0;600050788700;161992180;0;20/09/2025;0
0;633195886400;140508004;0;20/09/2025;0
0;600050789500;126400101;0;20/09/2025;0
0;600050784700;161344000;0;20/09/2025;0
0;600050791200;123866106;0;20/09/2025;0
0;600050785400;223854105;0;20/09/2025;0
0;881857924000;357170001;0;20/09/2025;0
0;600050780700;166906201;0;20/09/2025;0
0;600050792400;122315108;0;20/09/2025;0
0;633195885900;177396085;0;20/09/2025;0
0;644699039100;492866210;0;20/09/2025;0
0;600050792300;163815391;0;20/09/2025;0
0;600050789800;123868107;0;20/09/2025;0
0;881857924700;157500044;0;20/09/2025;0
0;600050787500;163906161;0;20/09/2025;0
0;600050795900;223367370;0;20/09/2025;0
0;600050788300;123363980;0;20/09/2025;0
0;633195887000;144650110;0;20/09/2025;0
0;600050795500;166902181;0;20/09/2025;0
0;633195887100;178799642;0;20/09/2025;0
0;633195886900;177850184;0;20/09/2025;0
0;600050790100;125588132;0;20/09/2025;0
0;600050788200;120849020;0;20/09/2025;0
0;600050794800;396580046;0;20/09/2025;0
0;600050794900;396580046;0;20/09/2025;0
0;644699039300;292411040;0;20/09/2025;0
0;644699039400;194540018;0;20/09/2025;0
0;600050796900;196950014;0;20/09/2025;0
0;600050796000;125966100;0;20/09/2025;0
0;600050794200;166970000;0;20/09/2025;0
0;600050794600;323360405123362400;0;20/09/2025;0
0;600050794700;123445107;0;20/09/2025;0
0;600050787000;120056024;0;20/09/2025;0
0;600050795800;1123419063;0;20/09/2025;0
0;600050796300;126400100;0;20/09/2025;0
0;600050794300;124603087;0;20/09/2025;0
0;633195886100;4678108011;0;20/09/2025;0
0;633195886600;177802201;0;21/09/2025;0
0;644699039200;194510029;0;21/09/2025;0
0;600050788800;266906201;0;21/09/2025;0
0;600050799200;1223365400;0;21/09/2025;0
0;600050800500;323360405;0;21/09/2025;0
0;600050797500;323360405;0;21/09/2025;0
0;600050797200;323360405;0;21/09/2025;0
0;600050800400;125579130;0;21/09/2025;0
0;600050787700;120182013;0;21/09/2025;0
0;881857925300;157403004;0;21/09/2025;0
0;600050798100;120182013;0;21/09/2025;0
0;600050798000;161636057;0;21/09/2025;0
0;600050800200;161040090;0;21/09/2025;0
0;600050799800;163906161;0;21/09/2025;0
0;600050799000;222307300;0;21/09/2025;0
0;600050798200;266906041;0;21/09/2025;0
0;600050797900;323861108;0;21/09/2025;0
0;600050798600;123429006;0;21/09/2025;0
0;600050797100;123360985;0;21/09/2025;0
0;600050800100;161218180;0;21/09/2025;0
0;600050800000;124603087;0;21/09/2025;0
0;881857925000;258015552;0;21/09/2025;0
0;600050797000;223419063;0;21/09/2025;0
0;600050794500;163809230;0;21/09/2025;0
0;600050799900;163809440;0;21/09/2025;0
0;600050797600;122211204;0;21/09/2025;0
0;600050801400;163962150;0;21/09/2025;0
0;600050800300;2723738000;0;21/09/2025;0
0;600050799100;123363380;0;21/09/2025;0
0;600050799500;123367980;0;21/09/2025;0
0;600050797700;120182013;0;21/09/2025;0
0;600050788100;161992180;0;21/09/2025;0
0;600050795600;122210203;0;21/09/2025;0
0;600050798800;266906041;0;21/09/2025;0
0;600050797400;165650060;0;21/09/2025;0
0;600050802300;163962210;0;21/09/2025;0
0;600050801300;124642080;0;21/09/2025;0
0;600050799600;166902075;0;21/09/2025;0
0;881857925100;157170005;0;21/09/2025;0
0;633195887300;341501100;0;21/09/2025;0
0;600050796200;122211204;0;21/09/2025;0
0;600050795700;122211204;0;21/09/2025;0
0;600050800700;125971104;0;21/09/2025;0
0;600050798700;125966100;0;21/09/2025;0
0;600050801800;323362400;0;21/09/2025;0
0;600050798500;163962100;0;21/09/2025;0
0;600050800600;161992180;0;21/09/2025;0
0;600050796100;120261718;0;21/09/2025;0
0;600050787900;125588132;0;21/09/2025;0
0;600050797300;125588132;0;21/09/2025;0
0;600050803400;163906210;0;21/09/2025;0
0;600050787300;125163100;0;21/09/2025;0
0;600050802500;120198660;0;21/09/2025;0
0;600050788000;125963100;0;21/09/2025;0
0;600050802000;166906141;0;21/09/2025;0
0;600050802600;125905166;0;21/09/2025;0
0;600050802900;125962100125963100;0;21/09/2025;0
0;600050787600;125966100;0;21/09/2025;0
0;600050801500;163950027;0;22/09/2025;0
0;600050802400;466906041266906071;0;22/09/2025;0
0;600050794400;120260716;0;22/09/2025;0
0;600050797800;323360405;0;22/09/2025;0
0;600050802800;163815391;0;22/09/2025;0
0;600050787800;221115075;0;22/09/2025;0
0;600050799700;266906081;0;22/09/2025;0
0;600050798400;623360405;0;22/09/2025;0
0;633195887200;177850221;0;22/09/2025;0
0;600050802700;123854105;0;22/09/2025;0
0;600050802100;323360405;0;22/09/2025;0
0;600050803600;196950273;0;22/09/2025;0
0;600050801900;126400101;0;22/09/2025;0
0;600050803800;125570130;0;22/09/2025;0
0;600050798900;623360405;0;22/09/2025;0
0;600050799300;323360405;0;22/09/2025;0
0;600050803900;863985060;0;22/09/2025;0
0;600050804300;264430911;0;22/09/2025;0
0;600050806200;120579013;0;22/09/2025;0
0;644699039500;194032107;0;22/09/2025;0
0;600050804000;323360405;0;22/09/2025;0
0;600050805000;123854105;0;22/09/2025;0
0;600050806400;163906151;0;22/09/2025;0
